date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,17379,19064,1685,8.8
2011-02-01,17396,19068,1672,8.8
2011-03-01,17655,19251,1596,8.3
2011-04-01,17809,19202,1393,7.3
2011-05-01,18147,19517,1370,7.0
2011-06-01,18732,20220,1488,7.4
2011-07-01,18692,20094,1402,7.0
2011-08-01,18453,19849,1396,7.0
2011-09-01,18231,19617,1386,7.1
2011-10-01,18062,19423,1361,7.0
2011-11-01,17937,19273,1336,6.9
2011-12-01,17720,19135,1415,7.4
2012-01-01,17290,18890,1600,8.5
2012-02-01,17266,18869,1603,8.5
2012-03-01,17493,19009,1516,8.0
2012-04-01,17711,19003,1292,6.8
2012-05-01,18104,19411,1307,6.7
2012-06-01,19059,20451,1392,6.8
2012-07-01,19168,20576,1408,6.8
2012-08-01,18573,19922,1349,6.8
2012-09-01,18452,19692,1240,6.3
2012-10-01,18190,19453,1263,6.5
2012-11-01,17926,19198,1272,6.6
2012-12-01,17895,19268,1373,7.1
2013-01-01,17400,18959,1559,8.2
2013-02-01,17377,18873,1496,7.9
2013-03-01,17486,18871,1385,7.3
2013-04-01,17677,18896,1219,6.5
2013-05-01,17999,19240,1241,6.5
2013-06-01,18685,19999,1314,6.6
2013-07-01,18820,20047,1227,6.1
2013-08-01,18552,19692,1140,5.8
2013-09-01,18348,19448,1100,5.7
2013-10-01,18088,19145,1057,5.5
2013-11-01,17999,19054,1055,5.5
2013-12-01,17963,18983,1020,5.4
2014-01-01,17798,19016,1218,6.4
2014-02-01,17744,18958,1214,6.4
2014-03-01,17996,19172,1176,6.1
2014-04-01,17831,18788,957,5.1
2014-05-01,17993,18987,994,5.2
2014-06-01,18691,19743,1052,5.3
2014-07-01,19069,20100,1031,5.1
2014-08-01,18706,19687,981,5.0
2014-09-01,18442,19348,906,4.7
2014-10-01,18360,19278,918,4.8
2014-11-01,18032,19006,974,5.1
2014-12-01,17873,18871,998,5.3
